group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1 (US),2 (US),3 (CR),4 (CR),5 (CR),6 (CR),7 (CR),8 (CR),9 (SL),10 (SL),11 (SL),12 (SL),13 (CR),14 (CR),15 (CR),16 (CR),QF,SF,F1,F
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,1,ISR,Israel,Tamar Steinberg,ISRTS5,,111,44,1,1,1,1,7,2,9,1,5,(29),(19),(19),12,1,2,1,-,-,1,1
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,2,ISR,Israel,Sharon Kantor,ISRSK8,,195,72,7,(27),(25),3,(71) DSQ,3,3,3,3,3,5,5,9,10,13,5,-,-,2,2
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,3,AUS,Australia,Stella Bilger,AUSSB96,,242,114,3,3,3,21,5,14,6,4,5,15,3,(31),(26),23,9,(71) UFD,-,1,3,3
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,4,ISR,Israel,Daniela Peleg,ISRDP1,,272,150,27,(33),(52),4,17,19,18,(37),1,3,23,1,15,6,8,8,2,2,5 DNC,4
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,5,NZL,New Zealand,Veerle Ten Have,NZLVT2,,233,117,(29),9,8,5,13,7,19,(38),(49) BFD,5,9,3,4,15,6,14,-,3,-,-
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,6,NED,Netherlands,Sara Wennekes,NEDSW5,,264,138,5,11,(46),2,21,17,11,16,3,19,(49) DNS,17,1,2,(31),13,1,4,-,-
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,7,ITA,Italy,Medea Marisa Falcioni,ITAMF147,,194,105,3,3,7,9,1,(38),17,6,1,(25),7,7,22,19,(26),3,-,5,-,-
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,8,POL,Poland,Anastasiya Valkevich,POLAV1,,267,141,29,9,2,11,3,6,13,(42),(35),1,(49) BFD,35,20,9,1,2,3,-,-,-
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,9,GBR,Great Britain,Islay Watson,GBRIW27,,257,120,1,5,4,12,23,(27),1,2,1,25,3,(39),17,7,19,(71) UFD,4,-,-,-
youth,World Championships,IQFOiL,IQFOiL Women,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,10,ISR,Israel,Shahar Tibi,ISRST5,,227,130,9,7,19,28,4,1,5,9,(31),(37),15,(29),6,3,12,12,5,-,-,-
