group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(US),2(US),3(SL),4(SL),5(SL),6(SL),7(SL),8(SL),9(SL),10(SL),11(SL),12(SL),13(SL),QF,SF,F1,F()
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,1,TUR,Türkiye,Parla Kabasakal,TURPK2,,15,11,(1),1,1,1,1,1,1,1,1,1,1,(3),1,-,-,1,1
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,2,POL,Poland,Michelle  Urzykowski,POLMU4,,73,17,5,1,(7),1,1,1,1,1,(49) DNC,1,3,1,1,-,-,5 DNC,2
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,3,ISR,Israel,Noa Koren,ISRNK10,,47,27,3,(9),(11),3,3,3,1,3,1,1,5,1,3,-,1,2,3
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,4,TUR,Türkiye,Nisa Üstündağ,TURNU4,,59,27,(7),1,5,1,5,5,(25),1,1,3,1,3,1,-,2,3,4
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,5,NED,Netherlands,Anna Korevaar,NEDAK26,,99,71,9,7,9,3,7,11,(15),7,5,7,3,3,(13),2,3,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,6,TUR,Türkiye,ECE BAŞ,TUREB10,,167,69,1,3,1,3,5,(49) DNC,5,11,3,(49) DNC,13,1,23,1,4,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,7,POL,Poland,Marta Gajdzinski,POLMG79,,77,49,3,5,3,(19),(9),3,3,3,9,3,7,7,3,-,5,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,8,POL,Poland,,,,123,53,1,5,1,5,1,1,9,19,7,(49) BFD,1,(21),3,3,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,9,ITA,Italy,Elettra Fulgenzi,ITAEF35,,95,69,5,(15),7,5,(11),5,9,11,3,5,9,5,5,4,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,10,POL,Poland,Martyna Figura,POLMF11,,139,55,3,5,7,7,3,3,(35),5,5,7,5,(49) BFD,5,5,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,11,ITA,Italy,Elisa Bruno,ITAEB104,,143,75,5,(19),5,13,9,7,5,5,3,(49) BFD,3,11,9,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,12,POL,Poland,Kalina Szostek,POLKS51,,125,87,7,9,5,11,5,11,5,7,11,(19),(19),9,7,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,13,TUR,Türkiye,Zeynep Mavioglu,TURZM1,,135,89,(33),(13),3,7,11,9,7,9,13,3,7,9,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,14,ISR,Israel,meu kauffman,ISRMK3,,169,97,11,3,3,15,3,7,(49) BFD,(23),11,5,15,5,19,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,15,ESP,Spain,PATRICIA OROSA CAMPOS,ESPPO5,,185,109,15,(27),9,11,7,5,3,3,17,19,(49) BFD,9,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,16,GRE,Greece,Iliana Panagi,GREIP21,,151.68,109.68,13,(21),11,5,11.67 RDG,11.67 RDG,11.67 RDG,11.67 RDG,(21),11,5,13,5,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,17,HKG,"Hong Kong, China",Wong Cheuk Lam,HKGWC9,,169,123,13,15,(25),7,13,9,11,15,7,(21),7,17,9,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,18,AIN,Individual Neutral Athletes,Mariia Tinyakova,AINXMT1,,203,131,9,13,13,(49) DNC,15,13,7,17,(23),5,9,17,13,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,19,FRA,France,Capucine Bordier,FRACB129,,200,132,(19),11,17,14 STP,7,15,13,5,7,13,17,13,(49) DNC,-,-,-,-
