group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(US),2Q(US),3Q(US),4Q(SL),5Q(SL),6Q(SL),7Q(SL),8F(SL),9F(SL),10F(SL),11F(SL),12F(SL),13F(SL),14F(SL),15F(SL),QF,SF,F1,F()
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,1,GER,Germany,Moritz Schleicher,GERMS165,,63,18,(1),1,1,1,1,1,1,1,(5),3,(39) BFD,1,5,1,1,-,-,1,1
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,2,ITA,Italy,Luca Pacchiotti,ITALP114,,49,16,1,1,1,1,1,(3),1,1,1,3,(17),(13),1,1,3,-,-,4,2
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,3,CZE,Czechia,Frantisek Burda,CZEFB2,,97,30,1,1,1,(7),1,1,1,3,3,1,(39) BFD,9,7,1,(21),-,1,2,3
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,4,ESP,Spain,,,,99,52,(1),1,1,1,1,1,1,(19),5,19,(27),5,9,5,3,2,2,3,4
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,5,ITA,Italy,Davide Mecucci,ITADM99,,167,72,3,5,5,1,3,(39) BFD,5,11,11,(17),(39) BFD,11,5,3,9,1,3,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,6,FRA,France,Mahé  Givernaud,FRAMG93,,75,40,(5),3,3,3,3,3,3,3,3,5,7,(15),1,3,(15),-,4,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,7,ESP,Spain,,,,99.29,36.29,1,1,1,9,(11),1,1,1,9,(39) DNC,(13),1,1,9.29 RDG,1,-,5,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,8,LAT,Latvia,Viljams Preiss,LATVP1,,139,72,9,(13),3,3,7,11,7,9,(39) BFD,1,3,9,3,7,(15),3,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,9,POL,Poland,Jan Serafinski-Melsztynski,POLJS68,,119,72,7,(15),7,3,5,5,7,(19),5,5,5,(13),11,7,5,4,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,10,FRA,France,Bontemps  Malo,FRABM87,,119,56,3,(7),5,5,7,3,3,(17),1,9,3,1,9,(39) BFD,7,5,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,11,FRA,France,,,,139,74,(1),1,1,1,1,1,1,3,(39) BFD,39 BFD,1,3,3,19,(25),-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,12,TUR,Türkiye,Ege Özer,TUREO28,,143,80,3,5,3,(21),5,3,5,11,9,9,7,7,(13),(29),13,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,13,POL,Poland,Patryk Miarczynski,POLPM24,,175,86,3,3,5,1,3,(11),11,7,(39) DNC,(39) DNC,1,7,19,11,15,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,14,AIN,Individual Neutral Athletes,Alexsandr Morshchinin,AINXAM3,,185,92,5,3,9,(15),1,3,3,5,1,7,(39) BFD,(39) DNC,7,23,25,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,15,ITA,Italy,Jan Orlowski,ITAJO1,,147,94,(13),11,13,3,7,9,5,9,11,13,(15),3,(25),5,5,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,16,FRA,France,Gary Feuerstein,FRAGF32,,189,100,3,3,3,21,11,1,(39) BFD,5,21,3,(23),13,3,13,(27),-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,17,ISR,Israel,Gil Shtub,ISRGS6,,149,100,7,7,13,11,(15),7,9,(19),(15),13,11,11,5,3,3,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,18,ISR,Israel,Omri Luria,ISROL2,,153,100,9,(11),11,3,5,9,7,(21),13,7,(21),5,13,9,9,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,19,FRA,France,Alexis LITOU,FRAAL142,,185,118,(15),15,3,5,5,5,3,15,(21),9,7,19,15,17,(31),-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,20,FRA,France,Briac GATEL MADEC,FRABG58,,217,124,11,(15),13,5,15,7,3,7,19,15,5,(39) DNC,11,(39) BFD,13,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,21,ITA,Italy,Claudio Capitta,ITACC194,,203,126,(39) DNC,27,7,27,3,7,7,5,3,7,13,9,(21),11,(17),-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,22,POL,Poland,Tomasz Beta,POLTB12,,225,128,13,(39) UFD,17,3,13,27,11,13,7,1,5,7,(19),(39) BFD,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,23,POL,Poland,Tymon Wrzesinski,POLTW9,,219,132,3,3,3,(19),3,3,5,7,(39) DNC,27,15,(29),7,27,29,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,24,FRA,France,TITOUAN ALLAMANNO SAVOY,FRATA30,,213,132,17,17,(39) DSQ,15,19,9,11,9,7,5,3,15,(23),5,(19),-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,25,FRA,France,Mathis GARDAIS,FRAMG92,,235,138,5,(39) DNC,5,7,9,15,9,11,15,17,9,11,(25),(33),25,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,26,ESP,Spain,,,,209,140,(29),9,11,17,11,15,13,13,13,(19),9,15,(21),13,1,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,27,POL,Poland,Wojciech Galecki,POLWG11,,229,140,(11),5,9,9,7,5,3,(39) DNF,(39) DNC,21,17,25,15,15,9,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,28,TUR,Türkiye,EGE VURALGIL,TUREV3,,235,146,5,13,5,(17),11,17,9,29,29,(39) DNC,(33),3,11,7,7,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,29,ITA,Italy,Filippo Iengo,ITAFI23,,251,156,11,9,7,(17),5,7,5,(39) DNC,17,(39) DNC,1,39 DNC,23,11,21,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,30,ISR,Israel,Roee Amar,ISRRA4,,237,158,(19),19,9,7,9,15,17,(27),17,11,17,17,(33),9,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,31,POL,Poland,KRZYSZTOF CZURYLO,POLKC10,,243,162,7,9,(17),7,9,9,9,13,(39) DNF,19,(25),19,19,19,23,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,32,ISR,Israel,Yannay Shapira,ISRYS20,,255,166,5,7,11,13,19,(39) BFD,17,(25),(25),15,21,5,15,19,19,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,33,ITA,Italy,MALIK  GUEYE,ITAMG197,,281,174,5,9,(39) DNC,13,7,5,5,(33),11,23,29,31,17,(35),19,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,34,ISR,Israel,David Aleshko,ISRDA6,,273,176,(23),5,11,5,19,11,15,17,7,(39) BFD,23,29,(35),21,13,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,35,TUR,Türkiye,Toprak Kosele,TURTK9,,292.7,179.7,9,7,(39) UFD,25,9,11,11,15,19,(39) DNF,19,(35),21,22.7 RDG,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,36,TUR,Türkiye,yaman ÖZKAYAGAN,TURYO11,,295,190,11,3,11,(27),5,5,13,15,(39) DNC,(39) BFD,9,39 DNC,9,33,37,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,37,ITA,Italy,Giordano Rigotti,ITAGR81,,287,190,9,5,7,(19),13,13,9,(39) DNC,23,21,11,(39) DNC,17,25,37,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,38,FRA,France,,,,287,196,9,(13),5,5,13,5,7,(39) DNF,(39) DNC,23,39 BFD,21,31,17,21,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,39,HKG,"Hong Kong, China",Ki Kwan,HKGKK6,,311,212,15,7,15,13,9,7,(21),(39) DNC,(39) DNF,11,39 BFD,33,27,29,7,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,40,CZE,Czechia,Marek Krenek,CZEMK19,,313,212,15,9,9,(23),15,9,19,(39) DNC,9,(39) DNC,13,39 DNC,13,27,35,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,41,AUS,Australia,Jonas Moeller,AUSJM123,,327,214,7,7,7,(39) DNF,37,19,25,17,(39) DNC,27,15,27,(35),21,5,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,42,ITA,Italy,Andrea Mottin,ITAAM308,,303,216,11,11,19,11,21,17,(27),(31),19,13,19,21,(29),25,29,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,43,ISR,Israel,Hillel  Hartal,ISRHH4,,301,218,11,11,11,21,(25),13,19,(27),21,25,(31),19,27,17,23,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,44,GER,Germany,Julian Ahrens,GERJA31,,315,220,(17),11,13,15,17,15,13,37,25,(39) DNF,11,(39) DNC,37,9,17,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,45,ISR,Israel,Ido Harel,ISRIH5,,321,224,13,5,15,9,13,15,(19),(39) DNF,(39) DNF,25,39 BFD,23,17,23,27,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,46,AIN,Individual Neutral Athletes,Ilia Sokolov,AINXIS1,,319,228,(27),17,9,11,27,17,23,29,13,17,27,(31),(33),15,23,-,-,-,-
