group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(US),2(US),3(US),4(SL),5(SL),6(SL),7(SL),8(SL),9(US),10(SL),11(SL),12(SL),13(SL),14(SL),QF,SF,F1,F()
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,1,AIN,Individual Neutral Athletes,Taisia Stopchenko,AINXTS2,,48,18,1,1,(23),1,3,5,1,1,1,(7),1,1,1,1,-,-,1,1
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,2,GBR,Great Britain,Sophie Clark,GBRSC152,,108,46,3,5,1,7,9,1,(43) BFD,3,1,5,(19),3,3,5,-,-,3,2
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,3,TUR,Türkiye,Rüya Ugurlu,TURRU1,,116,70,1,1,(23),9,(23),5,5,9,1,1,13,5,9,11,-,2,2,3
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,4,FRA,France,Thea  Le Borgne Zibetti,FRATL82,,90,50,7,(25),(15),1,1,1,1,7,15,3,1,1,9,3,-,1,4,4
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,5,FRA,France,Garance Chatelier-Daisay,FRAGC69,,122,86,(19),15,7,9,7,(17),7,9,9,11,3,3,3,3,2,3,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,6,FRA,France,Salomé SIMON,FRASS29,,168,82,9,3,1,1,1,1,9,1,9,1,3,(43) DSQ,(43) DSQ,43 DSQ,-,4,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,7,GRE,Greece,Danai Giannouli,GREDG10,,158,84,3,1,1,21,(31),3,5,1,21,(43) DNC,9,1,1,17,1,5,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,8,ISR,Israel,ALBA KLEIN MEGHNAGI,ISRAK11,,166,94,9,9,(29),3,1,11,(43) BFD,5,3,3,15,3,5,27,3,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,9,ISR,Israel,NAAMA PALATNIK,ISRNP3,,144,90,5,3,(11),5,5,3,3,(43) BFD,7,1,7,7,43 BFD,1,4,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,10,ESP,Spain,MARTINA  MANTOVANI BORRAS,ESPMM108,,144,86,(15),13,9,5,3,13,7,(43) BFD,5,3,9,11,7,1,5,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,11,HKG,"Hong Kong, China",Tsz Yuet CHEUNG,HKGTC7,,186,120,9,11,(43) DNF,17,7,3,13,11,5,13,15,13,(23),3,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,12,ESP,Spain,Lucía Guardiola,ESPLG28,,168,124,13,(21),3,15,5,21,21,11,3,5,(23),11,7,9,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,13,ISR,Israel,Liri  Shaulov,ISRLS12,,212,126,17,7,11,13,13,17,7,5,19,(43) DNC,1,9,(43) BFD,7,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,14,FRA,France,PAULINE HERMITANT,FRAPH37,,190,126,7,7,7,(21),11,15,5,11,13,(43) DNC,5,9,19,17,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,15,AIN,Individual Neutral Athletes,Ulyana Vonogova,AINXUV1,,214,128,5,7,9,15,3,7,1,3,(43) DSQ,(43) DSQ,43 DSQ,7,5,23,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,16,ISR,Israel,Shir Amir,ISRSA11,,194,134,13,3,3,11,(29),5,9,3,27,17,(31),21,1,21,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,17,FRA,France,Eleonore LAMBEAUX,FRAEL89,,188,140,13,13,13,(19),5,15,15,7,7,13,13,(29),11,15,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,18,ITA,Italy,Vittoria Marconi,ITAVM56,,232,146,3,5,3,3,23,7,3,(43) BFD,21,(43) DNC,3,25,25,25,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,19,POL,Poland,Zofia Zarzecka,POLZZ7,,198,146,(25),(27),19,13,7,23,15,9,19,5,13,15,3,5,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,20,JPN,Japan,Akari Oshima,JPNAO10,,218,150,11,5,5,11,9,11,19,15,(25),(43) DNC,25,17,13,9,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,21,ISR,Israel,noam rosohotski,ISRNR4,,204,158,(23),11,7,19,13,19,11,15,(23),9,23,7,15,9,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,22,POL,Poland,Ewa Miarczynska,POLEM7,,246,160,11,9,21,(43) DNC,31,7,9,7,3,(43) DNC,11,27,17,7,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,23,FRA,France,PAULINE LEBEC,FRAPL99,,232,160,19,15,5,17,17,15,19,(29),5,(43) DNC,7,15,11,15,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,24,HUN,Hungary,Hanna Simon,HUNHS4,,252,166,(43) UFD,11,13,5,11,19,17,13,11,9,25,5,(43) BFD,27,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,25,SUI,Switzerland,Ernestine Inversin,SUIEI2,,256,180,27,21,(33),27,9,(43) BFD,11,13,15,7,5,19,15,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,26,HKG,"Hong Kong, China",Ching Suet Yuen,HKGCY10,,264,192,17,27,13,9,11,11,(29),(43) BFD,13,27,17,21,5,21,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,27,ITA,Italy,GINEVA GIUNTI,ITAGG211,,250,194,17,21,15,23,25,9,19,17,(27),13,17,11,7,(29),-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,28,POL,Poland,Julia Przybyl,POLJP39,,284,198,1,17,21,7,25,(43) BFD,13,5,9,(43) DNC,19,5,33,43 DNC,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,29,GRE,Greece,Georgina Tsoumou,GREGT18,,251,199,21,(23),23,11,23,13,21,21,23,15,10 STP,(29),11,7,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,30,FRA,France,Pauline ROISNEL,FRAPR49,,280,210,(27),25,15,17,19,23,17,(43) BFD,23,9,23,17,9,13,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,31,ITA,Italy,Marta VALENTE,ITAMV85,,300,214,5,19,17,27,31,9,3,19,11,(43) DNC,29,15,29,(43) DNC,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,32,ISR,Israel,,,,300,214,15,(43) UFD,5,25,21,19,17,15,21,15,11,35,(43) BFD,15,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,33,FRA,France,Camille  Moulin,FRACM78,,288,214,15,25,25,23,27,17,(31),17,13,(43) DNC,9,9,17,17,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,34,FRA,France,GALLOT-LE GRAND Emilie,FRAGE18,,304,218,23,13,17,19,13,9,23,(43) BFD,17,(43) DNC,15,23,27,19,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,35,HKG,"Hong Kong, China",Tsz Ying Wong,HKGTW4,,312,234,27,31,(35),(43) DNF,17,21,13,13,35,11,21,19,15,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,36,POL,Poland,Joanna Dzioba,POLJD28,,294,236,(29),27,19,21,(29),21,21,17,17,11,21,25,13,23,-,-,-,-
