group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(US),2Q(US),3Q(US),4Q(US),5Q(SL),6Q(SL),7Q(SL),8F(SL),9F(SL),10F(SL),11F(US),12F(US),13F(US),14F(US),15F(US),16F(SL),17F(SL),QF,SF,F1,F()
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,1,ITA,Italy,Mattia Saoncella,ITAMS191,,23,14,(1),1,1,1,1,1,1,1,1,1,(5),1,(3),1,1,1,1,-,-,2,1
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,2,USA,United States of America,Garrett January,USAGJ23,,113,36,3,1,1,1,1,1,(11),3,(27),7,5,3,(39) DNC,1,1,5,3,1,2,2,2
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,3,POL,Poland,Leon Jankowski,POLLJ4,,32,18,1,(3),3,3,1,1,1,1,1,1,1,1,1,(3),(8) STP,1,1,-,-,3,3
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,4,NED,Netherlands,Merlijn Boswijk,NEDMB63,,91,32,3,3,(5),1,1,1,1,1,9,(39) DNC,5,1,1,1,1,(15),3,-,1,4,4
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,5,NED,Netherlands,Peyton Dits,NEDPD34,,71,38,3,3,1,(5),5,1,1,3,1,3,(15),3,(13),1,1,5,7,2,3,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,6,TUR,Türkiye,Artun SENOL,TURAS20,,55,30,(1),1,1,1,1,1,1,1,9,1,1,3,(13),3,5,1,(11),-,4,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,7,ISR,Israel,itamar levi,ISRIL3,,82,20,1,1,1,1,(6) STP,1,1,3,3,(27),1,1,1,3,(29),1,1,-,5,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,8,ISR,Israel,Kfir Nov,ISRKN1,,139,80,1,(39) UFD,1,3,1,39 BFD,3,5,7,1,3,(11),7,3,3,3,(9),3,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,9,FRA,France,,,,101,62,5,(7),5,7,3,5,3,5,3,5,3,5,3,(9),7,3,(23),4,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,10,POL,Poland,Gustaw Trybek,POLGT1,,157,88,3,(5),3,3,1,3,1,3,9,(39) DNC,17,(25),5,5,9,19,7,5,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,11,POR,Portugal,Diogo Borges de Sousa,PORDB11,,201,90,5,7,3,9,(39) BFD,3,7,(39) BFD,5,3,7,(33),15,13,5,7,1,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,12,ISR,Israel,omri adiran,ISROA7,,177,90,7,5,1,(27),5,5,13,9,11,3,3,(29),7,7,(31),9,5,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,13,NED,Netherlands,Finn Brüll,NEDFB18,,155,96,3,3,3,1,5,(9),3,(25),(25),3,9,17,19,9,7,9,5,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,14,NED,Netherlands,Mika Boone,NEDMB62,,157,102,9,9,7,11,3,3,(15),7,5,5,(13),9,(27),7,13,9,5,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,15,ITA,Italy,Lorenzo Maroadi,ITALM137,,155,104,11,11,(15),13,11,15,5,7,3,(13),3,7,5,7,3,(23),3,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,16,FRA,France,,,,171,106,1,(27),15,5,5,27,3,5,7,5,(19),3,9,(19),5,13,3,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,17,FRA,France,LEOPOLD BRISEDOU,FRALB80,,185,110,7,5,(11),5,3,5,5,5,25,(31),7,5,3,(33),9,17,9,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,18,ITA,Italy,Pierluigi Caproni,ITAPC123,,179.89,110.89,3,5,11,5,(39) BFD,1,17,(17),7,(13),13,9.89 RDG,5,7,11,3,13,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,19,NED,Netherlands,Milo Zaal,NEDMZ8,,179,114,5,3,9,5,(23),5,1,11,7,13,(21),(21),15,11,5,9,15,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,20,ESP,Spain,Jorge Ruiz Lopez,ESPJR114,,214,126,1,3,1,1,10 STP,(14) STP,14 STP,13,21,7,9,21,9,5,(35),11,(39) BFD,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,21,NZL,New Zealand,Vlad Misescu,NZLVM3,,225,126,13,(21),7,7,11,3,7,(39) DNC,15,5,1,21,1,21,11,3,(39) DNC,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,22,ITA,Italy,Matteo Montanari,ITAMM404,,197,126,3,5,7,3,5,(9),3,21,1,9,21,5,23,13,(29),(33),7,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,23,ISR,Israel,,,,205,134,(15),1,9,3,13,5,9,7,9,(23),5,13,9,(33),21,23,7,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,24,ISR,Israel,NIR MEKEL,ISRNM4,,253,150,7,9,3,9,(39) BFD,11,3,7,5,11,23,13,7,21,(37),(27),21,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,25,FRA,France,Justin Spriet,FRAJS49,,243,156,5,(21),5,7,15,19,5,13,(39) DNC,9,21,17,11,(27),7,5,17,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,26,HKG,"Hong Kong, China",Tsz Ho Wong,HKGTW3,,221,156,11,(25),13,15,7,9,9,11,11,(17),15,(23),11,13,13,7,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,27,CHN,"China, PR",,,,241,162,7,7,21,(39) UFD,11,7,5,(19),13,19,19,9,7,(21),17,7,13,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,28,ITA,Italy,Leonardo Bertugelli,ITALB140,,253,166,11,9,(13),7,3,5,5,27,3,33,(35),9,(39) DNC,15,11,15,13,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,29,FRA,France,Elemiah Richard,FRAER21,,268.67,169.67,1,5,5,6.67 RDG,5,(21),3,(39) DNC,5,(39) DNC,33,7,19,25,33,17,5,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,30,FRA,France,Lucas gardais,FRALG66,,258,173,9,11,(33),23,12 STP,9,7,21,19,19,9,5,5,(29),9,(23),15,-,-,-,-
